id,title,description,category,price,discountPercentage,rating,stock,tags,brand,weight,warrantyInformation,shippingInformation,availabilityStatus,reviews,returnPolicy,minimumOrderQuantity
1,Essence Mascara Lash Princess,The Essence Mascara Lash Princess is a popular mascara known for its volumizing and lengthening effects. Achieve dramatic lashes with this long-lasting and cruelty-free formula.,beauty,9.99,10.48,2.56,99,"['beauty', 'mascara']",Essence,4,1 week warranty,Ships in 3-5 business days,In Stock,"[{'rating': 3, 'comment': 'Would not recommend!', 'date': '2025-04-30T09:41:02.053Z', 'reviewerName': 'Eleanor Collins', 'reviewerEmail': 'eleanor.collins@x.dummyjson.com'}, {'rating': 4, 'comment': 'Very satisfied!', 'date': '2025-04-30T09:41:02.053Z', 'reviewerName': 'Lucas Gordon', 'reviewerEmail': 'lucas.gordon@x.dummyjson.com'}, {'rating': 5, 'comment': 'Highly impressed!', 'date': '2025-04-30T09:41:02.053Z', 'reviewerName': 'Eleanor Collins', 'reviewerEmail': 'eleanor.collins@x.dummyjson.com'}]",No return policy,48
2,Eyeshadow Palette with Mirror,"The Eyeshadow Palette with Mirror offers a versatile range of eyeshadow shades for creating stunning eye looks. With a built-in mirror, it's convenient for on-the-go makeup application.",beauty,19.99,18.19,2.86,34,"['beauty', 'eyeshadow']",Glamour Beauty,9,1 year warranty,Ships in 2 weeks,In Stock,"[{'rating': 5, 'comment': 'Great product!', 'date': '2025-04-30T09:41:02.053Z', 'reviewerName': 'Savannah Gomez', 'reviewerEmail': 'savannah.gomez@x.dummyjson.com'}, {'rating': 4, 'comment': 'Awesome product!', 'date': '2025-04-30T09:41:02.053Z', 'reviewerName': 'Christian Perez', 'reviewerEmail': 'christian.perez@x.dummyjson.com'}, {'rating': 1, 'comment': 'Poor quality!', 'date': '2025-04-30T09:41:02.053Z', 'reviewerName': 'Nicholas Bailey', 'reviewerEmail': 'nicholas.bailey@x.dummyjson.com'}]",7 days return policy,20
3,Powder Canister,"The Powder Canister is a finely milled setting powder designed to set makeup and control shine. With a lightweight and translucent formula, it provides a smooth and matte finish.",beauty,14.99,9.84,4.64,89,"['beauty', 'face powder']",Velvet Touch,8,3 months warranty,Ships in 1-2 business days,In Stock,"[{'rating': 4, 'comment': 'Would buy again!', 'date': '2025-04-30T09:41:02.053Z', 'reviewerName': 'Alexander Jones', 'reviewerEmail': 'alexander.jones@x.dummyjson.com'}, {'rating': 5, 'comment': 'Highly impressed!', 'date': '2025-04-30T09:41:02.053Z', 'reviewerName': 'Elijah Cruz', 'reviewerEmail': 'elijah.cruz@x.dummyjson.com'}, {'rating': 1, 'comment': 'Very dissatisfied!', 'date': '2025-04-30T09:41:02.053Z', 'reviewerName': 'Avery Perez', 'reviewerEmail': 'avery.perez@x.dummyjson.com'}]",No return policy,22
4,Red Lipstick,"The Red Lipstick is a classic and bold choice for adding a pop of color to your lips. With a creamy and pigmented formula, it provides a vibrant and long-lasting finish.",beauty,12.99,12.16,4.36,91,"['beauty', 'lipstick']",Chic Cosmetics,1,3 year warranty,Ships in 1 week,In Stock,"[{'rating': 4, 'comment': 'Great product!', 'date': '2025-04-30T09:41:02.053Z', 'reviewerName': 'Liam Garcia', 'reviewerEmail': 'liam.garcia@x.dummyjson.com'}, {'rating': 5, 'comment': 'Great product!', 'date': '2025-04-30T09:41:02.053Z', 'reviewerName': 'Ruby Andrews', 'reviewerEmail': 'ruby.andrews@x.dummyjson.com'}, {'rating': 5, 'comment': 'Would buy again!', 'date': '2025-04-30T09:41:02.053Z', 'reviewerName': 'Clara Berry', 'reviewerEmail': 'clara.berry@x.dummyjson.com'}]",7 days return policy,40
5,Red Nail Polish,"The Red Nail Polish offers a rich and glossy red hue for vibrant and polished nails. With a quick-drying formula, it provides a salon-quality finish at home.",beauty,8.99,11.44,4.32,79,"['beauty', 'nail polish']",Nail Couture,8,1 month warranty,Ships overnight,In Stock,"[{'rating': 2, 'comment': 'Poor quality!', 'date': '2025-04-30T09:41:02.053Z', 'reviewerName': 'Benjamin Wilson', 'reviewerEmail': 'benjamin.wilson@x.dummyjson.com'}, {'rating': 5, 'comment': 'Great product!', 'date': '2025-04-30T09:41:02.053Z', 'reviewerName': 'Liam Smith', 'reviewerEmail': 'liam.smith@x.dummyjson.com'}, {'rating': 1, 'comment': 'Very unhappy with my purchase!', 'date': '2025-04-30T09:41:02.053Z', 'reviewerName': 'Clara Berry', 'reviewerEmail': 'clara.berry@x.dummyjson.com'}]",No return policy,22
6,Calvin Klein CK One,"CK One by Calvin Klein is a classic unisex fragrance, known for its fresh and clean scent. It's a versatile fragrance suitable for everyday wear.",fragrances,49.99,1.89,4.37,29,"['fragrances', 'perfumes']",Calvin Klein,7,1 week warranty,Ships overnight,In Stock,"[{'rating': 2, 'comment': 'Very disappointed!', 'date': '2025-04-30T09:41:02.053Z', 'reviewerName': 'Layla Young', 'reviewerEmail': 'layla.young@x.dummyjson.com'}, {'rating': 4, 'comment': 'Fast shipping!', 'date': '2025-04-30T09:41:02.053Z', 'reviewerName': 'Daniel Cook', 'reviewerEmail': 'daniel.cook@x.dummyjson.com'}, {'rating': 3, 'comment': 'Not as described!', 'date': '2025-04-30T09:41:02.053Z', 'reviewerName': 'Jacob Cooper', 'reviewerEmail': 'jacob.cooper@x.dummyjson.com'}]",90 days return policy,9
7,Chanel Coco Noir Eau De,"Coco Noir by Chanel is an elegant and mysterious fragrance, featuring notes of grapefruit, rose, and sandalwood. Perfect for evening occasions.",fragrances,129.99,16.51,4.26,58,"['fragrances', 'perfumes']",Chanel,7,3 year warranty,Ships overnight,In Stock,"[{'rating': 4, 'comment': 'Highly impressed!', 'date': '2025-04-30T09:41:02.053Z', 'reviewerName': 'Ruby Andrews', 'reviewerEmail': 'ruby.andrews@x.dummyjson.com'}, {'rating': 5, 'comment': 'Awesome product!', 'date': '2025-04-30T09:41:02.053Z', 'reviewerName': 'Leah Henderson', 'reviewerEmail': 'leah.henderson@x.dummyjson.com'}, {'rating': 5, 'comment': 'Very happy with my purchase!', 'date': '2025-04-30T09:41:02.053Z', 'reviewerName': 'Xavier Wright', 'reviewerEmail': 'xavier.wright@x.dummyjson.com'}]",No return policy,1
8,Dior J'adore,"J'adore by Dior is a luxurious and floral fragrance, known for its blend of ylang-ylang, rose, and jasmine. It embodies femininity and sophistication.",fragrances,89.99,14.72,3.8,98,"['fragrances', 'perfumes']",Dior,4,1 week warranty,Ships in 2 weeks,In Stock,"[{'rating': 5, 'comment': 'Great value for money!', 'date': '2025-04-30T09:41:02.053Z', 'reviewerName': 'Nicholas Bailey', 'reviewerEmail': 'nicholas.bailey@x.dummyjson.com'}, {'rating': 4, 'comment': 'Great value for money!', 'date': '2025-04-30T09:41:02.053Z', 'reviewerName': 'Penelope Harper', 'reviewerEmail': 'penelope.harper@x.dummyjson.com'}, {'rating': 4, 'comment': 'Great product!', 'date': '2025-04-30T09:41:02.053Z', 'reviewerName': 'Emma Miller', 'reviewerEmail': 'emma.miller@x.dummyjson.com'}]",7 days return policy,10
9,Dolce Shine Eau de,"Dolce Shine by Dolce & Gabbana is a vibrant and fruity fragrance, featuring notes of mango, jasmine, and blonde woods. It's a joyful and youthful scent.",fragrances,69.99,0.62,3.96,4,"['fragrances', 'perfumes']",Dolce & Gabbana,6,3 year warranty,Ships in 1 month,Low Stock,"[{'rating': 4, 'comment': 'Would buy again!', 'date': '2025-04-30T09:41:02.053Z', 'reviewerName': 'Mateo Bennett', 'reviewerEmail': 'mateo.bennett@x.dummyjson.com'}, {'rating': 4, 'comment': 'Highly recommended!', 'date': '2025-04-30T09:41:02.053Z', 'reviewerName': 'Nolan Gonzalez', 'reviewerEmail': 'nolan.gonzalez@x.dummyjson.com'}, {'rating': 5, 'comment': 'Very happy with my purchase!', 'date': '2025-04-30T09:41:02.053Z', 'reviewerName': 'Aurora Lawson', 'reviewerEmail': 'aurora.lawson@x.dummyjson.com'}]",7 days return policy,2
10,Gucci Bloom Eau de,"Gucci Bloom by Gucci is a floral and captivating fragrance, with notes of tuberose, jasmine, and Rangoon creeper. It's a modern and romantic scent.",fragrances,79.99,14.39,2.74,91,"['fragrances', 'perfumes']",Gucci,7,6 months warranty,Ships overnight,In Stock,"[{'rating': 1, 'comment': 'Very dissatisfied!', 'date': '2025-04-30T09:41:02.053Z', 'reviewerName': 'Cameron Perez', 'reviewerEmail': 'cameron.perez@x.dummyjson.com'}, {'rating': 5, 'comment': 'Very happy with my purchase!', 'date': '2025-04-30T09:41:02.053Z', 'reviewerName': 'Daniel Cook', 'reviewerEmail': 'daniel.cook@x.dummyjson.com'}, {'rating': 4, 'comment': 'Highly impressed!', 'date': '2025-04-30T09:41:02.053Z', 'reviewerName': 'Addison Wright', 'reviewerEmail': 'addison.wright@x.dummyjson.com'}]",No return policy,2
